Token ID,Coefficient
528,-0.0
529,-0.0
530,-0.0
531,-0.0
532,-0.0
533,-0.27636449734032587
534,-1.2746142897793344
535,-0.0
536,-0.4458936138183688
537,-0.17849765266718953
538,-0.0
539,-0.0
540,-0.0
541,-0.0
542,-0.0
543,-0.0
544,-0.0
545,-0.0
546,-0.0
547,-0.0
548,-0.21160097009701942
549,-1.8839850608354136
550,-0.0
551,-0.0
552,-0.0
553,-0.0
554,-0.0
555,-1.0190840399170926
556,-0.1969340854433347
557,-0.0
558,-1.9303600602585054
559,-0.0
560,-0.0
561,-0.0
562,-9.703965862437146
563,-0.0
564,-0.1905962151979483
565,-0.4348589304515047
566,-0.0
567,-0.0
568,-0.0
569,-0.0
570,-8.011761264494497
571,-0.0
572,-2.0507501403158366
573,-3.5022218651543353
574,-0.0
575,-0.0
576,-0.10425884718638122
577,-0.6175593210228427
578,-0.0
579,-0.0
580,0.0
581,-0.0
582,-1.9294990289408078
583,-0.0
584,-0.0
585,-0.0
586,-4.110204208478118
587,-0.0
588,-0.6775062518958861
589,-0.8843524379927715
590,-0.0
591,-0.6326234032161975
592,-0.7730080315294942
593,-0.9946815129742739
594,-0.0
595,-0.42429828801018266
596,-2.7153630161684936
597,-0.0
598,-0.0
599,-0.0
600,-0.0
601,-0.0
602,-0.0
603,-0.12223618247391442
604,-0.0
605,-0.0
606,-1.1192737286562875
607,-1.4562558314458083
608,-0.0
609,-0.0
610,-4.216584080897065
611,-0.030081860584291575
612,-0.0
613,-0.9480489634269531
614,-0.0
615,-0.0
616,-0.007726017076618206
617,-0.0
618,-0.0
619,-1.3810483495352703
620,-0.0
621,-0.0
622,-0.0
623,-0.0
624,-6.249071304856268
625,-0.0
626,-0.0
627,-0.0
628,-0.0
629,-4.684425714419471
630,-0.0
631,-0.0
632,-0.0
633,-0.0
634,-0.0
635,-0.0
636,-0.0
637,-0.0
638,-2.360671585589657
639,0.0
640,-0.0
641,-0.0
642,-0.0
643,-0.0
644,-0.0
645,-0.27648161152575285
646,-2.0926937539728296
647,-0.2456597194125099
648,-0.0
649,-0.0
650,0.0
651,-0.24714615108556534
652,-0.0
653,-0.0
654,-0.0
655,-0.5250405291565261
656,-0.0
657,-0.0
658,-0.0
659,-0.0
660,-0.0
661,-0.78155827632742
662,-0.0
663,-0.0
664,-0.0
665,-0.0
666,-0.0
667,-0.0
668,-0.0
669,-0.0
670,-0.0
671,-0.0
672,-0.0
673,-0.7975218860336705
674,-0.0
675,-1.7731454633820725
676,-1.8632273307140204
